Year,Stakeholder.group,Value.type,Climate.scenario,Fishing.scenario,Nutrient.scenario,Cyano,Fucus,Phyto,FilAlgae,Neogobius,Cercopagis,Rhitro,Seals,Cormorant,Clupea,Sander,Perca,Overall.expected.utility,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,Gil,PLC55,-1.57407,0.284086,0.806761,-0.865119,-0.419841,-0.32101,-0.455502,0.3186,-0.913225,0.362002,0.781146,1.10948,-0.886691,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,SQ,BSAP,-1.16934,0.462145,0.994384,-0.648818,-0.379706,-0.266948,-0.406549,0.288008,-0.815385,0.301843,0.496449,0.834941,-0.308971,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,SQ,PLC55,-1.57028,0.28092,0.78681,-0.859047,-0.424269,-0.319537,-0.455463,0.328916,-0.880207,0.358267,0.738027,1.10425,-0.911608,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,DEc,BSAP,-0.0784884,0.213304,0.165382,-0.057518,-0.0392545,-0.0309505,-0.031337,0.0575848,-0.107494,0.0555976,0.122376,0.155681,0.424883,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,DEc,PLC55,-0.0784884,0.17296,0.161254,-0.109552,-0.0342552,-0.0389483,-0.0380652,0.0546413,-0.174691,0.0631955,0.129084,0.161419,0.268553,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,Inc,BSAP,-0.0784884,0.215048,0.178411,-0.0598875,-0.0407876,-0.0423971,-0.0326385,0.038466,-0.101612,0.0393018,0.0741275,0.0886194,0.278162,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,Inc,PLC55,-0.0784884,0.171956,0.173395,-0.110769,-0.0321185,-0.0429408,-0.0372988,0.0329003,-0.154005,0.0404199,0.0707556,0.0892315,0.123038,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,Gil,BSAP,-0.0784884,0.215781,0.161908,-0.0600672,-0.0397796,-0.0335442,-0.0337169,0.05246,-0.106289,0.0486749,0.115631,0.128372,0.370941,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,Gil,PLC55,-0.0784884,0.174471,0.16767,-0.105267,-0.0340183,-0.0395584,-0.0375237,0.0477895,-0.169969,0.0546674,0.114247,0.136083,0.230103,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,SQ,BSAP,-0.0784884,0.213755,0.168799,-0.0589642,-0.0385962,-0.0339359,-0.0337644,0.0505666,-0.219764,0.047769,0.0931056,0.114845,0.225327,,,
Y 2050-2059,Cabin and sailing,Professional,RCP4.5,SQ,PLC55,-0.0784884,0.173634,0.168899,-0.108367,-0.0338228,-0.0398078,-0.0386454,0.0464432,-0.167222,0.0544337,0.105439,0.133997,0.216493,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,DEc,BSAP,-0.41046,0.104953,0.18803,-0.170379,-0.0425241,-0.0308314,-0.0485965,0.0532574,-0.179611,0.0529182,0.128224,0.187856,-0.167164,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,DEc,PLC55,-0.551035,0.0624509,0.155358,-0.225303,-0.0516644,-0.0381533,-0.0561324,0.0568014,-0.193201,0.0637441,0.177594,0.236294,-0.363247,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,Inc,BSAP,-0.410527,0.103077,0.191208,-0.172691,-0.0456031,-0.0381747,-0.0492379,0.0309152,-0.159636,0.0330244,0.0710166,0.134507,-0.312121,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,Inc,PLC55,-0.555976,0.0622591,0.152433,-0.223753,-0.0534402,-0.0422529,-0.0557375,0.0387531,-0.174633,0.036801,0.121228,0.199485,-0.494833,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,Gil,BSAP,-0.415258,0.106116,0.186274,-0.168712,-0.0459736,-0.0333279,-0.0490341,0.0451147,-0.175307,0.0457545,0.116131,0.170323,-0.217899,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,Gil,PLC55,-0.553017,0.0645651,0.152587,-0.227059,-0.0512001,-0.0391475,-0.055549,0.0497481,-0.191957,0.0553226,0.167129,0.225739,-0.40284,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,SQ,BSAP,-0.410821,0.105033,0.188073,-0.170289,-0.0463056,-0.0325546,-0.0495791,0.0449713,-0.171392,0.0461289,0.106217,0.16988,-0.220638,,,
